session_id,date,day_index,device,user_type,arm,converted,page_load_ms
1,2026-06-01,0,desktop,returning,treatment,0,1647.4
2,2026-06-01,0,mobile,returning,control,0,1592.6
3,2026-06-01,0,desktop,returning,control,0,1573.9
4,2026-06-01,0,mobile,new,control,0,1691.8
5,2026-06-01,0,mobile,new,treatment,0,1957.6
6,2026-06-01,0,mobile,new,control,0,2084.8
7,2026-06-01,0,desktop,returning,treatment,0,1840.0
8,2026-06-01,0,mobile,new,treatment,0,2306.3
9,2026-06-01,0,desktop,returning,treatment,0,1429.8
10,2026-06-01,0,mobile,returning,treatment,0,1864.7
11,2026-06-01,0,desktop,returning,control,0,1296.6
12,2026-06-01,0,mobile,new,treatment,0,1564.3
13,2026-06-01,0,mobile,new,treatment,0,1827.2
14,2026-06-01,0,desktop,returning,treatment,0,1313.1
15,2026-06-01,0,mobile,new,control,0,1668.5
16,2026-06-01,0,mobile,new,control,0,1810.3
17,2026-06-01,0,mobile,returning,treatment,1,1500.5
18,2026-06-01,0,desktop,returning,control,0,1863.2
19,2026-06-01,0,desktop,returning,treatment,0,1232.5
20,2026-06-01,0,desktop,returning,treatment,0,1600.6
21,2026-06-01,0,mobile,returning,control,0,1947.2
22,2026-06-01,0,desktop,returning,control,1,1456.3
23,2026-06-01,0,mobile,returning,treatment,0,2769.6
24,2026-06-01,0,desktop,new,control,0,1034.2
25,2026-06-01,0,desktop,new,control,0,1500.0
26,2026-06-01,0,mobile,returning,treatment,0,1614.6
27,2026-06-01,0,mobile,new,treatment,0,1754.4
28,2026-06-01,0,mobile,returning,control,0,1473.1
29,2026-06-01,0,mobile,returning,treatment,0,2961.5
30,2026-06-01,0,desktop,new,control,0,1132.2
31,2026-06-01,0,desktop,new,control,0,1147.8
32,2026-06-01,0,desktop,new,control,0,1212.2
33,2026-06-01,0,mobile,new,treatment,0,2084.9
34,2026-06-01,0,desktop,returning,control,0,1866.0
35,2026-06-01,0,desktop,returning,treatment,0,2129.6
36,2026-06-01,0,mobile,returning,treatment,1,2932.8
37,2026-06-01,0,mobile,new,control,0,2520.3
38,2026-06-01,0,mobile,returning,control,0,1784.7
39,2026-06-01,0,mobile,new,treatment,0,1278.6
40,2026-06-01,0,mobile,returning,control,0,1718.9
41,2026-06-01,0,desktop,returning,treatment,0,1691.3
42,2026-06-01,0,mobile,new,treatment,0,2693.9
43,2026-06-01,0,mobile,returning,treatment,0,2086.8
44,2026-06-01,0,mobile,new,treatment,0,3033.4
45,2026-06-01,0,desktop,returning,treatment,0,1628.2
46,2026-06-01,0,mobile,returning,control,0,1785.0
47,2026-06-01,0,desktop,returning,control,0,1154.4
48,2026-06-01,0,desktop,returning,treatment,0,1144.3
49,2026-06-01,0,desktop,returning,treatment,1,1400.8
50,2026-06-01,0,mobile,returning,treatment,0,2381.6
51,2026-06-01,0,mobile,new,treatment,1,1904.8
52,2026-06-01,0,mobile,new,treatment,0,2508.2
53,2026-06-01,0,mobile,new,control,0,1578.4
54,2026-06-01,0,mobile,new,treatment,0,2837.4
55,2026-06-01,0,mobile,new,treatment,0,1571.5
56,2026-06-01,0,desktop,new,control,0,1716.9
57,2026-06-01,0,desktop,returning,control,0,1416.3
58,2026-06-01,0,desktop,new,control,0,1935.2
59,2026-06-01,0,mobile,new,control,0,1704.7
60,2026-06-01,0,mobile,returning,treatment,0,2427.4
61,2026-06-01,0,mobile,new,control,0,2462.5
62,2026-06-01,0,desktop,returning,treatment,0,2229.4
63,2026-06-01,0,desktop,returning,control,0,1200.9
64,2026-06-01,0,desktop,new,control,0,1421.9
65,2026-06-01,0,desktop,new,control,0,990.7
66,2026-06-01,0,mobile,returning,control,0,2128.6
67,2026-06-01,0,desktop,returning,treatment,0,1310.5
68,2026-06-01,0,desktop,new,control,0,845.7
69,2026-06-01,0,mobile,returning,control,0,1175.0
70,2026-06-01,0,desktop,new,treatment,0,1647.2
71,2026-06-01,0,mobile,returning,control,0,1947.3
